SCN,BU,SBU,GRPPC3,PC,GOP,PTF,value
HYPO34,MARK,FIC,IndustrialGoods,StableEarnings,Europe,GreenEnergy,42
HYPO34,MARK,CTY,EnergyUtilities,StableEarnings,DigitalTransformation,AIandRobotics,93
HYPO34,MARK,FIC,MediaEntertainment,LegacyProducts,Europe,EquityDerivatives,43
HYPO34,MARK,CTY,Telecommunications,HighGrowth,DigitalTransformation,PrivateEquity,35
HYPO34,MARK,CTY,HealthcareSolutions,MarketLeader,MiddleEast,GreenEnergy,30
HYPO34,MARK,CTY,FinancialServices,HighGrowth,DigitalTransformation,CommoditiesTrading,57
HYPO34,MARK,CTY,HealthcareSolutions,CashCow,R&DInvestments,EquityDerivatives,48
HYPO34,MARK,CTY,Infrastructure,HighRisk,GlobalExports,EquityDerivatives,4
HYPO34,MARK,FIC,Telecommunications,InnovationDriven,AsiaPacific,RealEstateInvestments,59
HYPO34,MARK,FIC,Telecommunications,EmergingMarkets,GlobalExports,PrivateEquity,67
HYPO34,MARK,MGT,IndustrialGoods,NicheProducts,R&DInvestments,ConsumerRetail,22
HYPO34,MARK,MGT,HealthcareSolutions,LegacyProducts,MiddleEast,FixedIncomeSecurities,30
HYPO34,MARK,FIC,EnergyUtilities,LowRisk,AsiaPacific,FixedIncomeSecurities,20
HYPO34,MARK,EQD,EnergyUtilities,NicheProducts,Europe,GreenEnergy,5
HYPO34,MARK,CTY,MediaEntertainment,StableEarnings,AsiaPacific,Biotechnology,43
HYPO34,MARK,EQD,ConsumerTech,NicheProducts,DigitalTransformation,PrivateEquity,34
HYPO34,MARK,FIC,IndustrialGoods,InnovationDriven,Africa,FixedIncomeSecurities,72
HYPO34,MARK,MGT,Pharmaceuticals,HighRisk,MiddleEast,AIandRobotics,25
HYPO34,MARK,MGT,EnergyUtilities,NicheProducts,R&DInvestments,FixedIncomeSecurities,7
HYPO34,MARK,MGT,EnergyUtilities,NicheProducts,NorthAmerica,VentureCapital,99
HYPO34,MARK,EQD,Pharmaceuticals,EmergingMarkets,LatinAmerica,ConsumerRetail,20
HYPO34,MARK,CTY,Telecommunications,HighRisk,MiddleEast,FixedIncomeSecurities,77
HYPO34,MARK,CTY,Telecommunications,StableEarnings,LatinAmerica,EquityDerivatives,74
HYPO34,MARK,CTY,Automotive,HighRisk,Africa,RealEstateInvestments,51
HYPO34,MARK,CTY,Pharmaceuticals,EmergingMarkets,NorthAmerica,RealEstateInvestments,34
HYPO34,MARK,FIC,Pharmaceuticals,MarketLeader,MiddleEast,AIandRobotics,65
HYPO34,MARK,FIC,FinancialServices,LowRisk,Africa,PrivateEquity,52
HYPO34,MARK,FIC,EnergyUtilities,EmergingMarkets,AsiaPacific,RealEstateInvestments,86
HYPO34,MARK,MGT,Automotive,NicheProducts,NorthAmerica,VentureCapital,61
HYPO34,MARK,EQD,Pharmaceuticals,InnovationDriven,AsiaPacific,CommoditiesTrading,25
HYPO34,MARK,MGT,EnergyUtilities,EmergingMarkets,AsiaPacific,PrivateEquity,2
HYPO34,MARK,MGT,ConsumerTech,LegacyProducts,GlobalExports,VentureCapital,28
HYPO34,MARK,FIC,Pharmaceuticals,LegacyProducts,Europe,GreenEnergy,69
HYPO34,MARK,FIC,ConsumerTech,EmergingMarkets,MiddleEast,Biotechnology,37
